id	age	employees	totalassets	sales	addedvalue	ebit	roa	roi	ros	roe	leverage
8006	37	11	896	1153	485	68	.078125	.075892858	.058976583	.14553015	1.8627858
8003	36	32	8055	7122	752	-191	-.056238361	-.023711979	-.026818309	-.40088496	7.1283188
7253	9	27	3771	2983	911	162	.0084858127	.042959426	.054307744	.16080402	18.949749
8349	46	46	35536	45495	16664	6806	.19059545	.19152409	.14959885	.46794251	2.4551611
8137	98	18	2478	2535	720	0	-.027845036	0	0	-.095172413	3.4179311
9692	14	15	1906	1444	650	102	.037250787	.053515214	.070637122	.10128388	2.7189729
8962	38	23	5761	6053	919	102	-.027078632	.01770526	.016851148	-.11111111	4.1032763
8373	28	19	4080	3769	1110	324	.051715687	.079411767	.085964449	.23263507	4.4983463
7428	59	28	11923	7285	1633	356	.0030193743	.029858258	.048867535	.010807565	3.5794055
7538	34	30	3377	3481	1698	92	.012140954	.027243115	.026429188	.054666668	4.5026665
7745	25	38	2385	2543	1072	225	.095178194	.094339624	.088478178	.18713932	1.9661995
7678	42	21	4039	2903	1056	62	-.0079227528	.015350334	.021357216	-.019900497	2.511816
8158	51	55	8136	8453	1774	181	.0031956735	.022246804	.021412516	.015081206	4.7192574
7217	18	12	1337	1732	523	83	.04487659	.062079281	.047921479	.11385199	2.5370018
9660	17	32	4014	4311	1597	204	.012705531	.050822124	.047320805	.057367828	4.5151858
7500	13	86	42301	56786	9660	2962	.064679325	.070021987	.052160744	.13482481	2.084512
7686	31	29	5413	3242	1274	341	.035100684	.062996492	.10518198	.98958331	28.192709
9675	20	20	1827	2127	820	30	.016420361	.016420361	.014104372	.038860105	2.3665802
7478	29	22	2479	2068	900	114	.023799919	.045986284	.055125725	.05767351	2.423265
8141	64	28	2853	3697	1235	11	.00035050823	.0038555907	.0029753854	.0006329114	1.8056962
